Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
C,C,CC,CC2,21,NA,0.00893,EG
C,C,CC,CC2,22,NA,0.00986,EG
C,C,CC,CC2,23,NA,0.01016,EG
C,C,CC,CC2,24,NA,0.00999,EG
C,C,CC,CC2,25,NA,0.00899,EG
C,C,CC,CC2,26,NA,0.0107,EG
C,C,CC,CC2,27,NA,0.01029,EG
C,C,CC,CC2,28,NA,0.01015,EG
C,C,CC,CC2,29,NA,0.01015,EG
C,C,CC,CC2,30,NA,0.00932,EG
C,C,CC,CC2,31,NA,0.01002,EG
C,C,CC,CC2,32,NA,0.00995,EG
C,C,CC,CC2,33,NA,0.00913,EG
C,C,CC,CC2,34,NA,0.00955,EG
C,C,CC,CC2,35,NA,0.00867,EG
C,C,CC,CC3,1,NA,0.00915,EG
C,C,CC,CC3,2,NA,0.00974,EG
C,C,CC,CC3,3,NA,0.00889,EG
C,C,CC,CC3,4,NA,0.00936,EG
C,C,CC,CC3,5,NA,0.00924,EG
C,C,CC,CC3,6,NA,0.0095,EG
C,C,CC,CC3,7,NA,0.00875,EG
C,C,CC,CC3,8,NA,0.00906,EG
C,C,CC,CC3,9,NA,0.00886,EG
C,C,CC,CC3,10,NA,0.00978,EG
C,C,CC,CC3,11,NA,0.00936,EG
C,C,CC,CC3,12,NA,0.0095,EG
C,C,CC,CC3,13,NA,0.00858,EG
C,C,CC,CC3,14,NA,0.009,EG
C,C,CC,CC3,15,NA,0.00899,EG
C,C,CC,CC3,16,NA,0.00877,EG
C,C,CC,CC3,17,NA,0.00992,EG
C,C,CC,CC3,18,NA,0.00977,EG
C,C,CC,CC3,19,NA,0.00886,EG
C,C,CC,CC3,20,NA,0.00821,EG
C,C,CC,CC3,21,NA,0.00939,EG
C,C,CC,CC3,22,NA,0.00891,EG
C,C,CC,CC3,23,NA,0.00865,EG
C,C,CC,CC3,24,NA,0.00874,EG
C,C,CC,CC3,25,NA,0.00927,EG
C,C,CC,CC3,26,NA,0.00946,EG
C,C,CC,CC3,27,NA,0.00962,EG
C,C,CC,CC3,28,NA,0.00903,EG
C,C,CC,CC3,29,NA,0.0091,EG
C,C,CC,CC3,30,NA,0.00868,EG
C,C,CC,CC3,31,NA,0.00909,EG
C,C,CC,CC3,32,NA,0.00829,EG
C,C,CC,CC3,33,NA,0.00877,EG
C,C,CC,CC3,34,NA,0.009,EG
C,C,CC,CC3,35,NA,0.00813,EG
C,W,CW,CW1,1,NA,0.00933,EG
C,W,CW,CW1,2,NA,0.00902,EG
C,W,CW,CW1,3,NA,0.00933,EG
C,W,CW,CW1,4,NA,0.01035,EG
C,W,CW,CW1,5,NA,0.00956,EG
C,W,CW,CW1,6,NA,0.00964,EG
C,W,CW,CW1,7,NA,0.00964,EG
C,W,CW,CW1,8,NA,0.00938,EG
C,W,CW,CW1,9,NA,0.0094,EG
C,W,CW,CW1,10,NA,0.0098,EG
C,W,CW,CW1,11,NA,0.00889,EG
C,W,CW,CW1,12,NA,0.0094,EG
C,W,CW,CW1,13,NA,0.00879,EG
C,W,CW,CW1,14,NA,0.00993,EG
C,W,CW,CW1,15,NA,0.01013,EG
C,W,CW,CW1,16,NA,0.00866,EG
C,W,CW,CW1,17,NA,0.00931,EG
C,W,CW,CW1,18,NA,0.00958,EG
C,W,CW,CW1,19,NA,0.00962,EG
C,W,CW,CW1,20,NA,0.01001,EG
C,W,CW,CW1,21,NA,0.00819,EG
C,W,CW,CW1,22,NA,0.00927,EG
C,W,CW,CW1,23,NA,0.00936,EG
C,W,CW,CW1,24,NA,0.00947,EG
C,W,CW,CW1,25,NA,0.00992,EG
C,W,CW,CW1,26,NA,0.00953,EG
C,W,CW,CW1,27,NA,0.00921,EG
C,W,CW,CW1,28,NA,0.01006,EG
C,W,CW,CW1,29,NA,0.00981,EG
C,W,CW,CW1,30,NA,0.00934,EG
C,W,CW,CW1,31,NA,0.00847,EG
C,W,CW,CW1,32,NA,0.00882,EG
C,W,CW,CW1,33,NA,0.00859,EG
C,W,CW,CW1,34,NA,0.0097,EG
C,W,CW,CW1,35,NA,0.00917,EG
C,W,CW,CW2,1,NA,0.01031,EG
C,W,CW,CW2,2,NA,0.00813,EG
C,W,CW,CW2,3,NA,0.00941,EG
C,W,CW,CW2,4,NA,0.00955,EG
C,W,CW,CW2,5,NA,0.00946,EG
C,W,CW,CW2,6,NA,0.0096,EG
C,W,CW,CW2,7,NA,0.00945,EG
C,W,CW,CW2,8,NA,0.00975,EG
C,W,CW,CW2,9,NA,0.00914,EG
C,W,CW,CW2,10,NA,0.0092,EG
C,W,CW,CW2,11,NA,0.0094,EG
C,W,CW,CW2,12,NA,0.0103,EG
C,W,CW,CW2,13,NA,0.00964,EG
C,W,CW,CW2,14,NA,0.00988,EG
